OID_,Join_Count,TARGET_FID,OBJECT_ID,KODE_DESA,DESA,KODE,PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,JUMLAH_KK,LUAS_WILAY,KEPADATAN,LUAS_DESA,KODE_DES_3,DESA_KEL_1,KODE_12,periode_data,wilayah,kecamatan_1,kelurahan,nama_halte,lokasi,koordinat_x,koordinat_y,halte_ratio,isDense,Shape_Length,Shape_Area
27,0,153,25457.000000000000000,3172061002,PEGANGSAAN DUA,317206.000000000000000,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,59468.000000000000000,19536.000000000000000,5.590000000000000,10645.000000000000000,25456.000000000000000,3172061002,PEGANGSAAN DUA,317206.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,13515.299016174472854,5524076.242916449904442
28,0,155,25460.000000000000000,3173011002,DURI KOSAMBI,317301.000000000000000,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,94759.000000000000000,29150.000000000000000,5.980000000000000,15854.000000000000000,25459.000000000000000,3173011002,DURI KOSAMBI,317301.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,13387.788254415141637,5303542.782004071399570
29,0,156,25461.000000000000000,3173011003,RAWA BUAYA,317301.000000000000000,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,78405.000000000000000,24888.000000000000000,3.750000000000000,20891.000000000000000,25460.000000000000000,3173011003,RAWA BUAYA,317301.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,10315.330664993429309,3710530.671079156454653
30,0,176,25499.000000000000000,3173061002,SEMANAN,317306.000000000000000,DKI JAKARTA,JAKARTA BARAT,KALIDERES,SEMANAN,88097.000000000000000,27586.000000000000000,5.290000000000000,16643.000000000000000,25498.000000000000000,3173061002,SEMANAN,317306.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,9710.596744017300807,5161695.614218155853450
31,0,177,25500.000000000000000,3173061003,TEGAL ALUR,317306.000000000000000,DKI JAKARTA,JAKARTA BARAT,KALIDERES,TEGAL ALUR,103199.000000000000000,32968.000000000000000,7.610000000000000,13558.000000000000000,25499.000000000000000,3173061003,TEGAL ALUR,317306.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,15413.005478047207362,7417481.159448295831680
32,0,178,25501.000000000000000,3173061004,KAMAL,317306.000000000000000,DKI JAKARTA,JAKARTA BARAT,KALIDERES,KAMAL,65858.000000000000000,20554.000000000000000,3.140000000000000,20946.000000000000000,25500.000000000000000,3173061004,KAMAL,317306.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,8149.995091387202592,2947037.770341173280030
33,0,194,25532.000000000000000,3174031003,PELA MAMPANG,317403.000000000000000,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,53495.000000000000000,17293.000000000000000,1.980000000000000,27028.000000000000000,25531.000000000000000,3174031003,PELA MAMPANG,317403.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,6960.388258568505989,1956378.883983617648482
34,0,202,25548.000000000000000,3174061001,CILANDAK BARAT,317406.000000000000000,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,62119.000000000000000,20313.000000000000000,5.940000000000000,10458.000000000000000,25547.000000000000000,3174061001,CILANDAK BARAT,317406.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,11528.370403038599761,5869836.549856695346534
35,0,215,25570.000000000000000,3174091002,SRENGSENG SAWAH,317409.000000000000000,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,70377.000000000000000,21938.000000000000000,5.650000000000000,12455.000000000000000,25569.000000000000000,3174091002,SRENGSENG SAWAH,317409.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,13296.255470599235196,5501817.839877620339394
36,0,232,25604.000000000000000,3175041004,BATU AMPAR,317504.000000000000000,DKI JAKARTA,JAKARTA TIMUR,KRAMATJATI,BATU AMPAR,58890.000000000000000,18252.000000000000000,2.560000000000000,23048.000000000000000,25603.000000000000000,3175041004,BATU AMPAR,317504.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,8196.243802663329916,2525323.379006563220173
37,0,239,25612.000000000000000,3175051005,PEKAYON,317505.000000000000000,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,PEKAYON,53410.000000000000000,16559.000000000000000,3.220000000000000,16572.000000000000000,25611.000000000000000,3175051005,PEKAYON,317505.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,10104.047353738415040,2976007.659906999673694
38,0,243,25616.000000000000000,3175061004,CAKUNG TIMUR,317506.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,73270.000000000000000,22810.000000000000000,9.130000000000001,8029.000000000000000,25615.000000000000000,3175061004,CAKUNG TIMUR,317506.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,17111.189159064677369,9014469.534090060740709
39,0,247,25621.000000000000000,3175071002,PONDOK BAMBU,317507.000000000000000,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,75193.000000000000000,23926.000000000000000,4.640000000000000,16195.000000000000000,25620.000000000000000,3175071002,PONDOK BAMBU,317507.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,9466.519020054376597,4590000.663732502609491
40,0,248,25623.000000000000000,3175071004,PONDOK KELAPA,317507.000000000000000,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,86731.000000000000000,26504.000000000000000,5.880000000000000,14762.000000000000000,25622.000000000000000,3175071004,PONDOK KELAPA,317507.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,11619.842959642593996,5794943.425634905695915
41,0,252,25631.000000000000000,3175081005,CIPINANG MELAYU,317508.000000000000000,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,52190.000000000000000,16506.000000000000000,2.480000000000000,21027.000000000000000,25630.000000000000000,3175081005,CIPINANG MELAYU,317508.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,13640.351284761998613,2344839.337095036171377
42,0,253,25633.000000000000000,3175091002,CIBUBUR,317509.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,79968.000000000000000,24727.000000000000000,4.860000000000000,16441.000000000000000,25632.000000000000000,3175091002,CIBUBUR,317509.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,14688.652888890301256,4790142.401541424915195
43,0,254,25634.000000000000000,3175091003,KELAPA DUA WETAN,317509.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,56330.000000000000000,18155.000000000000000,3.410000000000000,16501.000000000000000,25633.000000000000000,3175091003,KELAPA DUA WETAN,317509.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,8887.576936972865951,3373236.839780255686492
44,0,262,25643.000000000000000,3175101007,LUBANG BUAYA,317510.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,77650.000000000000000,23362.000000000000000,3.710000000000000,20940.000000000000000,25642.000000000000000,3175101007,LUBANG BUAYA,317510.000000000000000,,,,,,,,,0.000000000000000,1.000000000000000,12871.416203169785149,3660897.499223904218525
