OID_,Name,TargetFacilityCount,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,SnapX,SnapY,SnapZ,DistanceToNetworkInMeters,Attr_WalkTime,Attr_Length,Cutoff_WalkTime,Cutoff_Length
65,Location 65,,1,23556,0.167660069541921,1,0,0,11892609.827477719634771,-692346.667950105387717,0.000000000000000,8.941256750494988,0.000000000000000,0.000000000000000,,
66,Location 66,,1,19076,0.561194986789677,2,0,0,11892234.425120359286666,-695011.351769394706935,0.000000000000000,62.182929983565806,0.000000000000000,0.000000000000000,,
67,Location 67,,1,23509,0.580210921841985,2,0,0,11892140.315799999982119,-696395.467000000178814,0.000000000000000,80.488602405458977,0.000000000000000,0.000000000000000,,
68,Location 68,,1,29804,0.198529812973251,1,0,0,11890968.463054293766618,-698606.647834734758362,0.000000000000000,22.309549403159078,0.000000000000000,0.000000000000000,,
69,Location 69,,1,28303,0.445041489395640,2,0,0,11891263.094486664980650,-702565.639280312694609,0.000000000000000,23.812030414560081,0.000000000000000,0.000000000000000,,
70,Location 70,,1,17529,0.663287184146261,1,0,0,11894029.522621180862188,-701577.868134233402088,0.000000000000000,134.701924443624677,0.000000000000000,0.000000000000000,,
71,Location 71,,1,24825,0.972415112766984,2,0,0,11892845.723555786535144,-699741.024310850771144,0.000000000000000,40.842505982962997,0.000000000000000,0.000000000000000,,
72,Location 72,,1,18916,0.789919624666644,2,0,0,11892340.457944976165891,-703798.419478371855803,0.000000000000000,32.044126518399878,0.000000000000000,0.000000000000000,,
73,Location 73,,1,24050,0.740673431073985,1,0,0,11886466.026408549398184,-696643.364062045002356,0.000000000000000,8.278884416548644,0.000000000000000,0.000000000000000,,
74,Location 74,,1,28748,0.406933371072214,1,0,0,11885903.984547583386302,-695797.873836260871030,0.000000000000000,1.123413458625341,0.000000000000000,0.000000000000000,,
75,Location 75,,1,29301,0.393207196856425,1,0,0,11886814.318721421062946,-694806.427522417856380,0.000000000000000,25.685554359939811,0.000000000000000,0.000000000000000,,
