OID_,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_WalkTime,Total_Length,Shape_Length
248,246,1,Location 249 - 246,1,2,249,,,,,16.579357841737547,1381.388700939974797,1395.356949279177798
249,102,1,Location 250 - 102,2,1,250,,,,,18.697749639830285,1557.882784533743688,1573.651149882309255
250,224,1,Location 251 - 224,2,2,251,,,,,37.760654427380310,3146.288981490361948,3173.575945154063447
251,101,1,Location 252 - 101,1,2,252,,,,,54.403487277228081,4532.971464010664022,4568.051293918265401
252,41,1,Location 253 - 41,2,2,253,,,,,75.013888802609856,6250.305111565014158,6321.319323974473264
253,41,1,Location 254 - 41,1,2,254,,,,,52.978968627947836,4414.307176995645023,4463.596280758427383
254,134,1,Location 255 - 134,1,2,255,,,,,18.577543952134928,1547.926910164011815,1562.342172417107122
255,41,1,Location 256 - 41,1,1,256,,,,,12.044482254677249,1003.570652298049254,1012.876197143751369
256,41,1,Location 257 - 41,2,2,257,,,,,69.522104177498790,5792.688354457470268,5847.088996660703742
257,41,1,Location 258 - 41,2,2,258,,,,,92.045404731328830,7669.344218984564577,7741.868484621815696
258,41,1,Location 259 - 41,1,2,259,,,,,78.552534254917958,6545.124084422155647,6611.665630179033542
259,41,1,Location 260 - 41,2,1,260,,,,,53.123314802586847,4426.303900565489130,4459.152451801358438
260,41,1,Location 261 - 41,2,1,261,,,,,37.270979001945427,3105.475751044059052,3128.327399363037784
261,112,1,Location 262 - 112,2,2,262,,,,,33.742553048398001,2811.473212203090952,2834.704177121073371
262,41,1,Location 263 - 41,2,1,263,,,,,20.345392176003230,1695.216020176512075,1710.025116267302337
