OID_,SOURCE_ID,KEPADATAN,Shape_Length,Shape_Area,GiZScore,GiPValue,NNeighbors,Gi_Bin
208,208,10088.000000000000000,3499.054881539549115,651180.406634980230592,-2.994322453987267,0.002750550855261,16,-3
209,209,16232.000000000000000,4410.830050194093019,852664.158235424314626,-2.503893412452959,0.012283503300480,17,-2
210,210,24002.000000000000000,6210.681476827040569,1719419.268207075074315,-1.562378253284160,0.118198907035758,10,0
211,211,16833.000000000000000,5158.843669288047749,1403948.881572874030098,-0.827477697167458,0.407966366063735,16,0
212,212,16956.000000000000000,8876.497478327639328,1988129.677890616236255,-1.143391820644808,0.252875966171041,15,0
213,213,26866.000000000000000,5308.919002327005728,943386.075211415416561,-0.124608814494899,0.900833249856877,16,0
214,214,18683.000000000000000,4339.199669639006970,692203.518859421717934,0.543165912317396,0.587015576566686,19,0
215,215,12455.000000000000000,13296.255470599235196,5501817.839877620339394,-1.324066734072445,0.185480882430849,5,0
216,216,12491.000000000000000,10454.944113592709982,3626258.653534861281514,-1.376863891784024,0.168554332708652,4,0
217,217,13400.000000000000000,10525.944033453179145,3557107.309800424613059,-1.096302700649190,0.272946345108083,11,0
218,218,17408.000000000000000,8227.292714875522506,1875670.432585742557421,-0.388615670950005,0.697560473418051,7,0
219,219,23267.000000000000000,8868.664003428275464,2774145.443299831356853,-0.599229754224889,0.549019686922091,8,0
220,220,23713.000000000000000,5712.323986162535221,1766182.854866047389805,-1.162621734016216,0.244983028820206,9,0
221,221,23894.000000000000000,10365.158636292355368,2073205.067957427585497,-0.088111556793232,0.929788011118376,9,0
222,222,33763.000000000000000,4895.692325123976843,1017157.666181333363056,5.038041455345296,0.000000470319593,26,3
223,223,56445.000000000000000,3947.664827796576901,545533.055157019989565,4.512018761409829,0.000006421350662,25,3
224,224,37648.000000000000000,4245.779146649050745,642224.478242027689703,4.634816606465001,0.000003572540615,29,3
225,225,17335.000000000000000,7067.520567955793922,2625484.180955839809030,1.692619978521584,0.090527825754978,16,1
226,226,12624.000000000000000,7850.759448751597120,3849530.466938827652484,-0.090888379976308,0.927581283416303,11,0
227,227,67768.000000000000000,5324.195641555877955,466143.802698122337461,3.427081429293636,0.000610106086681,25,3
228,228,35498.000000000000000,6976.209909992749999,1258557.669441966572776,1.904723254401146,0.056816054530695,20,1
229,229,17169.000000000000000,4379.127029162951658,673385.563514136127196,3.399166241884449,0.000675916191729,23,3
230,230,28690.000000000000000,6665.729864667715447,1447993.589794878149405,-0.536931803205589,0.591314724214592,13,0
231,231,28755.000000000000000,6528.779963756103825,1463722.622618010733277,-0.399596142946983,0.689453998753790,10,0
232,232,23048.000000000000000,8196.243802663329916,2525323.379006563220173,-0.275570009479461,0.782878347323858,11,0
233,233,20050.000000000000000,8362.942514302196287,2003679.575195198180154,0.112985027651942,0.910042425417131,13,0
234,234,17894.000000000000000,9514.389456327044172,2435550.316134297754616,-0.910763733881213,0.362419885137631,11,0
235,235,15050.000000000000000,8079.299394923225918,1929664.632124046329409,-0.961195461548909,0.336453909949552,7,0
236,236,17707.000000000000000,10284.131947401805519,2822359.887621345464140,-1.140578813531125,0.254045257035938,10,0
237,237,0.000000000000000,1817.082295006613549,147224.854911184840603,2.190475436151874,0.028489774360432,18,2
238,238,0.000000000000000,3503.724139642882619,500460.471488164330367,2.430276526231284,0.015087306935929,23,2
239,239,16572.000000000000000,10104.047353738415040,2976007.659906999673694,-0.844955156090804,0.398135885662318,6,0
240,240,15763.000000000000000,11514.080727436112284,6608870.809716564603150,-0.256353477531849,0.797677907582130,8,0
241,241,7606.000000000000000,13063.010337001762309,4103955.316941628232598,-1.302079219532980,0.192889306078637,9,0
242,242,27167.000000000000000,11393.875677050535160,4370341.372151388786733,-0.398977322964001,0.689909914528566,7,0
243,243,8029.000000000000000,17111.189159064677369,9014469.534090060740709,-1.867059752711412,0.061893244018504,4,-1
244,244,16960.000000000000000,13269.936998016661164,6724103.675779660232365,-0.262894128736499,0.792632182055798,5,0
245,245,9495.000000000000000,9901.786363340330354,3789778.993450074456632,-1.302185305319223,0.192853047264390,3,0
