OID_,OBJECT_ID,KODE_DESA,DESA,KODE,PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,JUMLAH_KK,LUAS_WILAY,KEPADATAN,GENERATED,KODE_DES_1,LUAS_DESA,KODE_DES_3,DESA_KEL_1,KODE_12,SUM_Covered_Area,CoverageRate,Pop_Terlayani,PCSB_Persen,Shape_Length,Shape_Area
26,25440.000000000000000,3172031001,KOJA,317203.000000000000000,DKI JAKARTA,JAKARTA UTARA,KOJA,KOJA,35891.000000000000000,12202.000000000000000,2.620000000000000,13682.000000000000000,30 Juni 2019,3172031001,25439.000000000000000,3172031001,KOJA,317203.000000000000000,397698.783694886020385,0.153288298600331,5501.670325064491408,15.328829860033133,7365.015812407106750,2574462.782495627179742
27,25444.000000000000000,3172031005,TUGU SELATAN,317203.000000000000000,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU SELATAN,49037.000000000000000,15177.000000000000000,1.880000000000000,26085.000000000000000,30 Juni 2019,3172031005,25443.000000000000000,3172031005,TUGU SELATAN,317203.000000000000000,,,,,6022.208492674511945,1859126.229966536397114
28,25445.000000000000000,3172031006,RAWA BADAK SELATAN,317203.000000000000000,DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,53360.000000000000000,17123.000000000000000,1.840000000000000,29064.000000000000000,30 Juni 2019,3172031006,25444.000000000000000,3172031006,RAWA BADAK SELATAN,317203.000000000000000,323613.876294794725254,0.178233344374305,9510.531255812926247,17.823334437430521,5589.573365169735553,1815675.276511959964409
29,25446.000000000000000,3172041001,CILINCING,317204.000000000000000,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,55102.000000000000000,17275.000000000000000,7.340000000000000,7505.000000000000000,30 Juni 2019,3172041001,25445.000000000000000,3172041001,CILINCING,317204.000000000000000,,,,,19775.124063054852741,7002352.264499765820801
30,25471.000000000000000,3173021007,WIJAYA KUSUMA,317302.000000000000000,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,48348.000000000000000,15730.000000000000000,2.300000000000000,20986.000000000000000,30 Juni 2019,3173021007,25470.000000000000000,3173021007,WIJAYA KUSUMA,317302.000000000000000,393336.867139511683490,0.172681685525453,8348.814131784623896,17.268168552545347,6816.550844818877522,2277814.614359449129552
31,25449.000000000000000,3172041004,KALIBARU,317204.000000000000000,DKI JAKARTA,JAKARTA UTARA,CILINCING,KALIBARU,86964.000000000000000,28183.000000000000000,2.530000000000000,34416.000000000000000,30 Juni 2019,3172041004,25448.000000000000000,3172041004,KALIBARU,317204.000000000000000,,,,,11901.089851055157851,2483949.340677135158330
32,25451.000000000000000,3172041006,ROROTAN,317204.000000000000000,DKI JAKARTA,JAKARTA UTARA,CILINCING,ROROTAN,50167.000000000000000,15002.000000000000000,10.609999999999999,4726.000000000000000,30 Juni 2019,3172041006,25450.000000000000000,3172041006,ROROTAN,317204.000000000000000,33624.354122706674389,0.003203041732243,160.686994581439194,0.320304173224309,15493.994866135308257,10358338.833519589155912
33,25452.000000000000000,3172041007,SEMPER BARAT,317204.000000000000000,DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER BARAT,86583.000000000000000,28354.000000000000000,3.300000000000000,26223.000000000000000,30 Juni 2019,3172041007,25451.000000000000000,3172041007,SEMPER BARAT,317204.000000000000000,,,,,10460.699067677138373,3265444.527584020979702
34,25453.000000000000000,3172051001,PADEMANGAN TIMUR,317205.000000000000000,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,45083.000000000000000,14915.000000000000000,2.910000000000000,15499.000000000000000,30 Juni 2019,3172051001,25452.000000000000000,3172051001,PADEMANGAN TIMUR,317205.000000000000000,1122942.760690343100578,0.390403621395331,17600.566463365728850,39.040362139533144,7843.982805083662242,2876363.582901019603014
35,25454.000000000000000,3172051002,PADEMANGAN BARAT,317205.000000000000000,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,93530.000000000000000,31530.000000000000000,1.550000000000000,60208.000000000000000,30 Juni 2019,3172051002,25453.000000000000000,3172051002,PADEMANGAN BARAT,317205.000000000000000,627633.745747086009942,0.408569126547493,38213.470405987049162,40.856912654749337,5930.643725744514995,1536175.167534498963505
36,25455.000000000000000,3172051003,ANCOL,317205.000000000000000,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,29886.000000000000000,10266.000000000000000,7.920000000000000,3774.000000000000000,30 Juni 2019,3172051003,25454.000000000000000,3172051003,ANCOL,317205.000000000000000,1742994.906519184587523,0.222586098038495,6652.208125978450880,22.258609803849463,27078.225473714584950,7792419.860817941837013
37,25456.000000000000000,3172061001,KELAPA GADING TIMUR,317206.000000000000000,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,40012.000000000000000,13327.000000000000000,3.190000000000000,12542.000000000000000,30 Juni 2019,3172061001,25455.000000000000000,3172061001,KELAPA GADING TIMUR,317206.000000000000000,507236.651239898987114,0.160791495408291,6433.589314276557161,16.079149540829142,8696.427012048845427,3154623.633075512479991
38,25459.000000000000000,3173011001,CENGKARENG BARAT,317301.000000000000000,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,80638.000000000000000,25160.000000000000000,3.880000000000000,20786.000000000000000,30 Juni 2019,3173011001,25458.000000000000000,3173011001,CENGKARENG BARAT,317301.000000000000000,489508.033449744281825,0.127615581247009,10290.665240596325020,12.761558124700917,10170.866393919171969,3835801.459741593338549
39,25476.000000000000000,3173031005,MANGGA BESAR,317303.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,9198.000000000000000,3226.000000000000000,0.550000000000000,16637.000000000000000,30 Juni 2019,3173031005,25475.000000000000000,3173031005,MANGGA BESAR,317303.000000000000000,478836.235090028378181,0.875879060487481,8056.335598363848476,87.587906048748081,3096.123252028795832,546692.182392768329009
40,25463.000000000000000,3173011005,KAPUK,317301.000000000000000,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,167523.000000000000000,53227.000000000000000,6.140000000000000,27282.000000000000000,30 Juni 2019,3173011005,25462.000000000000000,3173011005,KAPUK,317301.000000000000000,163087.298771765577840,0.026861173263968,4499.864328699687576,2.686117326396786,15658.705344261750724,6071488.282891123555601
41,25464.000000000000000,3173011006,CENGKARENG TIMUR,317301.000000000000000,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,100081.000000000000000,32211.000000000000000,3.750000000000000,26691.000000000000000,30 Juni 2019,3173011006,25463.000000000000000,3173011006,CENGKARENG TIMUR,317301.000000000000000,769442.567091170465574,0.207543640633157,20771.175098207026167,20.754364063315741,13524.802515633315124,3707377.228471827693284
42,25466.000000000000000,3173021002,TANJUNG DUREN UTARA,317302.000000000000000,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,20603.000000000000000,7041.000000000000000,1.320000000000000,15611.000000000000000,30 Juni 2019,3173021002,25465.000000000000000,3173021002,TANJUNG DUREN UTARA,317302.000000000000000,347573.854039772530086,0.266366472010516,5487.948422832670985,26.636647201051648,6092.341835014333810,1304870.885598595254123
43,25468.000000000000000,3173021004,JELAMBAR,317302.000000000000000,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,36680.000000000000000,12027.000000000000000,1.600000000000000,22916.000000000000000,30 Juni 2019,3173021004,25467.000000000000000,3173021004,JELAMBAR,317302.000000000000000,639813.879204807803035,0.404281333684751,14829.039319556659393,40.428133368475081,5866.782588036006928,1582595.647870598593727
44,25484.000000000000000,3173041005,KRENDANG,317304.000000000000000,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KRENDANG,25192.000000000000000,8313.000000000000000,0.330000000000000,75883.000000000000000,30 Juni 2019,3173041005,25483.000000000000000,3173041005,KRENDANG,317304.000000000000000,,,,,2616.184454379255385,328260.634402792551555
45,25492.000000000000000,3173051002,SUKABUMI UTARA,317305.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,47398.000000000000000,14415.000000000000000,1.540000000000000,30871.000000000000000,30 Juni 2019,3173051002,25491.000000000000000,3173051002,SUKABUMI UTARA,317305.000000000000000,455942.412264070357196,0.300401309711079,14238.421277685740279,30.040130971107935,5269.271247856412629,1517777.712978598894551
46,25493.000000000000000,3173051003,SUKABUMI SELATAN,317305.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,46386.000000000000000,14048.000000000000000,1.360000000000000,34026.000000000000000,30 Juni 2019,3173051003,25492.000000000000000,3173051003,SUKABUMI SELATAN,317305.000000000000000,397972.561177335912362,0.295332619895006,13699.298906449759670,29.533261989500627,4866.726927741943655,1347540.146720956312492
47,25494.000000000000000,3173051004,KELAPA DUA,317305.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,28843.000000000000000,8701.000000000000000,1.360000000000000,21185.000000000000000,30 Juni 2019,3173051004,25493.000000000000000,3173051004,KELAPA DUA,317305.000000000000000,942584.842976721818559,0.700344947089426,20200.049308900313918,70.034494708942603,6279.082908598798895,1345886.544414409901947
48,25495.000000000000000,3173051005,DURI KEPA,317305.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,72834.000000000000000,23494.000000000000000,3.700000000000000,19679.000000000000000,30 Juni 2019,3173051005,25494.000000000000000,3173051005,DURI KEPA,317305.000000000000000,892472.482257487019524,0.243900970658630,17764.283296950638032,24.390097065862975,8850.462956899893470,3659159.205968348309398
49,25496.000000000000000,3173051006,KEDOYA UTARA,317305.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,55356.000000000000000,17461.000000000000000,2.940000000000000,18856.000000000000000,30 Juni 2019,3173051006,25495.000000000000000,3173051006,KEDOYA UTARA,317305.000000000000000,1343955.181992756435648,0.463044415001398,25632.286636817410908,46.304441500139845,8768.528023836770444,2902432.551471439655870
50,25497.000000000000000,3173051007,KEDOYA SELATAN,317305.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,39331.000000000000000,12306.000000000000000,2.590000000000000,15207.000000000000000,30 Juni 2019,3173051007,25496.000000000000000,3173051007,KEDOYA SELATAN,317305.000000000000000,570958.998631060123444,0.223295567026492,8782.437946718957392,22.329556702649199,8781.686839652744311,2556965.219342628028244
51,25502.000000000000000,3173061005,PEGADUNGAN,317306.000000000000000,DKI JAKARTA,JAKARTA BARAT,KALIDERES,PEGADUNGAN,89881.000000000000000,28034.000000000000000,7.580000000000000,11852.000000000000000,30 Juni 2019,3173061005,25501.000000000000000,3173061005,PEGADUNGAN,317306.000000000000000,,,,,11612.102713223832325,7496768.052736591547728
52,25503.000000000000000,3173071001,PALMERAH,317307.000000000000000,DKI JAKARTA,JAKARTA BARAT,PAL MERAH,PALMERAH,77404.000000000000000,24338.000000000000000,2.220000000000000,34839.000000000000000,30 Juni 2019,3173071001,25502.000000000000000,3173071001,PALMERAH,317307.000000000000000,319089.249097744934261,0.145278538262137,11245.139975642425270,14.527853826213665,6645.667116433430238,2196396.335524791385978
53,25508.000000000000000,3173071006,KOTA BAMBU SELATAN,317307.000000000000000,DKI JAKARTA,JAKARTA BARAT,PAL MERAH,KOTA BAMBU SELATAN,26713.000000000000000,8489.000000000000000,0.590000000000000,45146.000000000000000,30 Juni 2019,3173071006,25507.000000000000000,3173071006,KOTA BAMBU SELATAN,317307.000000000000000,317402.250085051055066,0.542584903336149,14494.070522818550671,54.258490333614908,4184.024565506564613,584981.717255699099042
54,25596.000000000000000,3175031004,RAWA BUNGA,317503.000000000000000,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,26604.000000000000000,8823.000000000000000,0.770000000000000,34665.000000000000000,30 Juni 2019,3175031004,25595.000000000000000,3175031004,RAWA BUNGA,317503.000000000000000,656720.752227033837698,0.865590052507806,23028.157756917677034,86.559005250780615,3897.318288824942101,758697.203513797605410
55,25509.000000000000000,3173081001,KEMBANGAN UTARA,317308.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,66547.000000000000000,20664.000000000000000,4.240000000000000,15699.000000000000000,30 Juni 2019,3173081001,25508.000000000000000,3173081001,KEMBANGAN UTARA,317308.000000000000000,253832.261693948181346,0.060568297937791,4030.638522866174753,6.056829793779095,12842.323145204920365,4190843.567707547452301
56,25510.000000000000000,3173081002,MERUYA UTARA,317308.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,53207.000000000000000,17068.000000000000000,4.290000000000000,12393.000000000000000,30 Juni 2019,3173081002,25509.000000000000000,3173081002,MERUYA UTARA,317308.000000000000000,,,,,11823.340687692207212,4216687.685013224370778
57,25512.000000000000000,3173081004,SRENGSENG,317308.000000000000000,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,54909.000000000000000,16881.000000000000000,4.590000000000000,11962.000000000000000,30 Juni 2019,3173081004,25511.000000000000000,3173081004,SRENGSENG,317308.000000000000000,,,,,10885.490017737045491,4537635.079535554163158
58,25518.000000000000000,3174011004,KEBON BARU,317401.000000000000000,DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,43498.000000000000000,13886.000000000000000,1.280000000000000,33936.000000000000000,30 Juni 2019,3174011004,25517.000000000000000,3174011004,KEBON BARU,317401.000000000000000,669070.998519453452900,0.528047430105521,22969.007114729967725,52.804743010552137,6098.017031566800142,1267066.098300906596705
