OID_,OBJECT_ID,KODE_DESA,DESA,KODE,PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,JUMLAH_KK,LUAS_WILAY,KEPADATAN,Shape_Length,Shape_Area,Point_Count
210,25562.000000000000000,3174071010,CIPETE UTARA,317407.000000000000000,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,41755.000000000000000,13721.000000000000000,1.740000000000000,24002.000000000000000,6210.681476827040569,1719419.268207075074315,0
211,25563.000000000000000,3174081001,PANCORAN,317408.000000000000000,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PANCORAN,23908.000000000000000,7605.000000000000000,1.420000000000000,16833.000000000000000,5158.843669288047749,1403948.881572874030098,1
212,25566.000000000000000,3174081004,DUREN TIGA,317408.000000000000000,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,34105.000000000000000,11125.000000000000000,2.010000000000000,16956.000000000000000,8876.497478327639328,1988129.677890616236255,2
213,25567.000000000000000,3174081005,PENGADEGAN,317408.000000000000000,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PENGADEGAN,25641.000000000000000,8409.000000000000000,0.950000000000000,26866.000000000000000,5308.919002327005728,943386.075211415416561,0
214,25568.000000000000000,3174081006,CIKOKO,317408.000000000000000,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,13083.000000000000000,4352.000000000000000,0.700000000000000,18683.000000000000000,4339.199669639006970,692203.518859421717934,2
215,25570.000000000000000,3174091002,SRENGSENG SAWAH,317409.000000000000000,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,70377.000000000000000,21938.000000000000000,5.650000000000000,12455.000000000000000,13296.255470599235196,5501817.839877620339394,0
216,25571.000000000000000,3174091003,CIGANJUR,317409.000000000000000,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,46102.000000000000000,14266.000000000000000,3.690000000000000,12491.000000000000000,10454.944113592709982,3626258.653534861281514,0
217,25573.000000000000000,3174091005,TANJUNG BARAT,317409.000000000000000,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,48232.000000000000000,14771.000000000000000,3.600000000000000,13400.000000000000000,10525.944033453179145,3557107.309800424613059,0
218,25575.000000000000000,3174101001,PESANGGRAHAN,317410.000000000000000,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,33717.000000000000000,10401.000000000000000,1.940000000000000,17408.000000000000000,8227.292714875522506,1875670.432585742557421,0
219,25577.000000000000000,3174101003,PETUKANGAN UTARA,317410.000000000000000,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,65647.000000000000000,20317.000000000000000,2.820000000000000,23267.000000000000000,8868.664003428275464,2774145.443299831356853,2
220,25586.000000000000000,3175021001,PULO GADUNG,317502.000000000000000,DKI JAKARTA,JAKARTA TIMUR,PULOGADUNG,PULO GADUNG,42357.000000000000000,14363.000000000000000,1.790000000000000,23713.000000000000000,5712.323986162535221,1766182.854866047389805,2
221,25579.000000000000000,3174101005,ULUJAMI,317410.000000000000000,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,50117.000000000000000,15407.000000000000000,2.100000000000000,23894.000000000000000,10365.158636292355368,2073205.067957427585497,1
222,25581.000000000000000,3175011002,UTAN KAYU UTARA,317501.000000000000000,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,34735.000000000000000,11601.000000000000000,1.030000000000000,33763.000000000000000,4895.692325123976843,1017157.666181333363056,4
223,25582.000000000000000,3175011003,KAYU MANIS,317501.000000000000000,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,31146.000000000000000,10587.000000000000000,0.550000000000000,56445.000000000000000,3947.664827796576901,545533.055157019989565,0
224,25583.000000000000000,3175011004,PALMERIAM,317501.000000000000000,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PALMERIAM,24456.000000000000000,8471.000000000000000,0.650000000000000,37648.000000000000000,4245.779146649050745,642224.478242027689703,3
225,25590.000000000000000,3175021005,RAWAMANGUN,317502.000000000000000,DKI JAKARTA,JAKARTA TIMUR,PULOGADUNG,RAWAMANGUN,46034.000000000000000,15286.000000000000000,2.660000000000000,17335.000000000000000,7067.520567955793922,2625484.180955839809030,5
226,25591.000000000000000,3175021006,KAYU PUTIH,317502.000000000000000,DKI JAKARTA,JAKARTA TIMUR,PULOGADUNG,KAYU PUTIH,49147.000000000000000,16979.000000000000000,3.890000000000000,12624.000000000000000,7850.759448751597120,3849530.466938827652484,2
227,25593.000000000000000,3175031001,KAMPUNG MELAYU,317503.000000000000000,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,31954.000000000000000,10346.000000000000000,0.470000000000000,67768.000000000000000,5324.195641555877955,466143.802698122337461,0
228,25594.000000000000000,3175031002,BIDARA CINA,317503.000000000000000,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,45194.000000000000000,15491.000000000000000,1.270000000000000,35498.000000000000000,6976.209909992749999,1258557.669441966572776,4
229,25595.000000000000000,3175031003,BALI MESTER,317503.000000000000000,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,11695.000000000000000,4193.000000000000000,0.680000000000000,17169.000000000000000,4379.127029162951658,673385.563514136127196,4
230,25601.000000000000000,3175041001,KRAMATJATI,317504.000000000000000,DKI JAKARTA,JAKARTA TIMUR,KRAMATJATI,KRAMATJATI,42031.000000000000000,13892.000000000000000,1.460000000000000,28690.000000000000000,6665.729864667715447,1447993.589794878149405,1
231,25627.000000000000000,3175081001,MAKASAR,317508.000000000000000,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,MAKASAR,42584.000000000000000,13475.000000000000000,1.480000000000000,28755.000000000000000,6528.779963756103825,1463722.622618010733277,0
232,25604.000000000000000,3175041004,BATU AMPAR,317504.000000000000000,DKI JAKARTA,JAKARTA TIMUR,KRAMATJATI,BATU AMPAR,58890.000000000000000,18252.000000000000000,2.560000000000000,23048.000000000000000,8196.243802663329916,2525323.379006563220173,0
233,25607.000000000000000,3175041007,CAWANG,317504.000000000000000,DKI JAKARTA,JAKARTA TIMUR,KRAMATJATI,CAWANG,40643.000000000000000,13619.000000000000000,2.030000000000000,20050.000000000000000,8362.942514302196287,2003679.575195198180154,4
234,25608.000000000000000,3175051001,GEDONG,317505.000000000000000,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,GEDONG,44099.000000000000000,13607.000000000000000,2.460000000000000,17894.000000000000000,9514.389456327044172,2435550.316134297754616,0
235,25609.000000000000000,3175051002,BARU,317505.000000000000000,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,BARU,29389.000000000000000,8728.000000000000000,1.950000000000000,15050.000000000000000,8079.299394923225918,1929664.632124046329409,0
236,25610.000000000000000,3175051003,CIJANTUNG,317505.000000000000000,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,50571.000000000000000,15503.000000000000000,2.860000000000000,17707.000000000000000,10284.131947401805519,2822359.887621345464140,0
237,25645.000000000000000,31888888,DANAU SUNTER,318888.000000000000000,DKI JAKARTA, , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1817.082295006613549,147224.854911184840603,0
238,25646.000000000000000,31888888,DANAU SUNTER DLL,318888.000000000000000,DKI JAKARTA, , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3503.724139642882619,500460.471488164330367,0
239,25612.000000000000000,3175051005,PEKAYON,317505.000000000000000,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,PEKAYON,53410.000000000000000,16559.000000000000000,3.220000000000000,16572.000000000000000,10104.047353738415040,2976007.659906999673694,0
240,25613.000000000000000,3175061001,JATINEGARA,317506.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,JATINEGARA,105365.000000000000000,34673.000000000000000,6.680000000000000,15763.000000000000000,11514.080727436112284,6608870.809716564603150,1
241,25614.000000000000000,3175061002,RAWA TERATE,317506.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,RAWA TERATE,31569.000000000000000,10651.000000000000000,4.150000000000000,7606.000000000000000,13063.010337001762309,4103955.316941628232598,3
242,25615.000000000000000,3175061003,PENGGILINGAN,317506.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,120083.000000000000000,37680.000000000000000,4.420000000000000,27167.000000000000000,11393.875677050535160,4370341.372151388786733,3
243,25616.000000000000000,3175061004,CAKUNG TIMUR,317506.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,73270.000000000000000,22810.000000000000000,9.130000000000001,8029.000000000000000,17111.189159064677369,9014469.534090060740709,0
244,25617.000000000000000,3175061005,PULO GEBANG,317506.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PULO GEBANG,117589.000000000000000,36633.000000000000000,6.930000000000000,16960.000000000000000,13269.936998016661164,6724103.675779660232365,1
245,25618.000000000000000,3175061006,UJUNG MENTENG,317506.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,36390.000000000000000,11316.000000000000000,3.830000000000000,9495.000000000000000,9901.786363340330354,3789778.993450074456632,1
246,25619.000000000000000,3175061007,CAKUNG BARAT,317506.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,72686.000000000000000,23375.000000000000000,6.110000000000000,11903.000000000000000,13786.542477663446334,6038402.837440780363977,2
247,25621.000000000000000,3175071002,PONDOK BAMBU,317507.000000000000000,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,75193.000000000000000,23926.000000000000000,4.640000000000000,16195.000000000000000,9466.519020054376597,4590000.663732502609491,0
248,25623.000000000000000,3175071004,PONDOK KELAPA,317507.000000000000000,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,86731.000000000000000,26504.000000000000000,5.880000000000000,14762.000000000000000,11619.842959642593996,5794943.425634905695915,0
249,25624.000000000000000,3175071005,MALAKA SARI,317507.000000000000000,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI,33599.000000000000000,10544.000000000000000,1.280000000000000,26234.000000000000000,5007.027423736371020,1266219.359625051729381,0
250,25625.000000000000000,3175071006,MALAKA JAYA,317507.000000000000000,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,38024.000000000000000,12060.000000000000000,1.110000000000000,34202.000000000000000,5114.151657246533432,1099147.750805158633739,0
251,25630.000000000000000,3175081004,HALIM PERDANA KUSUMA,317508.000000000000000,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMA,35653.000000000000000,9536.000000000000000,13.140000000000001,2713.000000000000000,20118.730805877385137,12974163.359069125726819,0
252,25631.000000000000000,3175081005,CIPINANG MELAYU,317508.000000000000000,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,52190.000000000000000,16506.000000000000000,2.480000000000000,21027.000000000000000,13640.351284761998613,2344839.337095036171377,0
253,25633.000000000000000,3175091002,CIBUBUR,317509.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,79968.000000000000000,24727.000000000000000,4.860000000000000,16441.000000000000000,14688.652888890301256,4790142.401541424915195,0
254,25634.000000000000000,3175091003,KELAPA DUA WETAN,317509.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,56330.000000000000000,18155.000000000000000,3.410000000000000,16501.000000000000000,8887.576936972865951,3373236.839780255686492,0
255,25635.000000000000000,3175091004,SUSUKAN,317509.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,SUSUKAN,46394.000000000000000,15052.000000000000000,2.430000000000000,19122.000000000000000,7851.671483060989885,2397621.486359897069633,1
256,25636.000000000000000,3175091005,RAMBUTAN,317509.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,RAMBUTAN,45470.000000000000000,14194.000000000000000,2.570000000000000,17671.000000000000000,11459.998267329816372,2542905.103403050918132,4
257,25638.000000000000000,3175101002,CILANGKAP,317510.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,33198.000000000000000,9999.000000000000000,5.530000000000000,5999.000000000000000,15301.035366206111576,5467977.144643505103886,0
258,25639.000000000000000,3175101003,PONDOK RANGGON,317510.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,30351.000000000000000,9097.000000000000000,4.700000000000000,6458.000000000000000,17062.567343621842156,4567045.716376346535981,0
259,25640.000000000000000,3175101004,MUNJUL,317510.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,MUNJUL,28722.000000000000000,8889.000000000000000,2.070000000000000,13848.000000000000000,6429.442370881885836,2049410.279174842173234,0
260,25641.000000000000000,3175101005,SETU,317510.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,SETU,24722.000000000000000,7529.000000000000000,2.940000000000000,8406.000000000000000,10305.544795745063311,2900511.646048041991889,0
261,25642.000000000000000,3175101006,BAMBU APUS,317510.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,31774.000000000000000,9996.000000000000000,3.080000000000000,10308.000000000000000,10216.601189947743478,3046303.407552857883275,0
262,25643.000000000000000,3175101007,LUBANG BUAYA,317510.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,77650.000000000000000,23362.000000000000000,3.710000000000000,20940.000000000000000,12871.416203169785149,3660897.499223904218525,0
263,25644.000000000000000,3175101008,CEGER,317510.000000000000000,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,23042.000000000000000,7242.000000000000000,3.150000000000000,7321.000000000000000,9879.792603547277395,3110597.495841782074422,0
